Date,Toyota,Ford,GM
1/20/04,-0.0011004,-0.0081067,-0.0026481
1/26/04,-0.0152353,-0.0343582,-0.0341301
2/2/04,0.01478143,-0.0076107,-0.0092307
2/9/04,-0.0044343,0.00233045,0.00665758
2/17/04,0.0066991,-0.0056815,-0.003316
2/23/04,0.00045155,-0.0133219,-0.0035512
3/1/04,0.00874427,0.0109607,0.00240549
3/8/04,-0.0029801,-0.0257797,-0.0277785
3/15/04,0.0020312,-0.0072384,-0.0027886
3/22/04,0.01823003,0.00723841,0.00644234
3/29/04,0.00441035,0.01203501,0.00775839
4/5/04,0.00144025,-0.0020997,-0.0007588
4/12/04,-0.0070059,-0.0081444,-0.003267
4/19/04,0.01713168,0.07075976,0.02742709
4/26/04,-0.0148242,-0.0067334,-0.0157791
5/3/04,-0.0213498,-0.0280287,-0.0266616
5/10/04,-0.0101692,0.00879367,0.00248233
5/17/04,0.00755314,-0.0137571,-0.0126719
5/24/04,0.01884858,0.01824761,0.02279159
6/1/04,0.01303887,0.00191039,0.007843
6/7/04,0.0105164,0.01895969,0.01693783
6/14/04,0.01629151,0.00843317,-0.0007274
6/21/04,0.00250861,-0.0008958,-0.0030265
6/28/04,0.00962023,-0.025545,-0.0225686
7/6/04,-0.0137532,0.00598168,-0.0097047
7/12/04,0.00229475,-0.0088441,-0.0062489
7/19/04,-0.0122855,-0.0051358,-0.0068049
7/26/04,0.01540033,0.00417749,0.00220307
